,,HBCx95_m00_UNT_K27me3,hg38,h3k27me3
,,HBCx95_m22_CAPAS_K27me3,hg38,h3k27me3
,,HBCx95_m30_CAPAR_K27me3,hg38,h3k27me3
,,HBCx95_m40_CAPAR_K27me3,hg38,h3k27me3
,,HBCx95_m43_UNT_K27me3,hg38,h3k27me3
,,HBCx95_m43_UNT_K4me3,hg38,h3k27me3
,,HBCx95_m6_CAPAS_K27me3,hg38,h3k27me3
,,HBCx95_m9_50_REC_K27me3,hg38,h3k27me3
,,MM468_5FU6_D33_K27,hg38,h3k27me3
,,MM468_5FU6_D60_K4,hg38,h3k27me3
,,MM468_DMSO6_D60_K27,hg38,h3k27me3
,,MM468_DMSO6_D60_K4,hg38,h3k27me3
,,MM468_exp6_hu_5FU_d214_m05y20_H3K27me3,hg38,h3k27me3
,,MM468_exp6_p14_hu_DMSO_d0_m05y20_H3K27me3,hg38,h3k27me3
,,MM468_exp6_p14_hu_DMSO_d0_m05y20_H3K4me3,hg38,h3k27me3
,,MM468_hu_d0_m10y21_H3K27me3,hg38,h3k27me3
,,MM468_hu_d0_m10y21_H3K4me3,hg38,h3k27me3
,,MM468_hu_d0_m10y21_K27ac,hg38,h3k27me3
,,MM468_hu_d0_m10y21_K4me1,hg38,h3k27me3
,,MM468_hu_inDrop_m11y21_H3K27me3,hg38,h3k27me3
,,MM468_hu_inDrop_m11y21_H3K4me1,hg38,h3k27me3
,,MM468_hu_inDrop_m11y21_H3K4me3,hg38,h3k27me3
,,MM468_Ipop_DMSO6_K27me3,hg38,h3k27me3
,,MM468_Ipop_DMSO6_K4me3,hg38,h3k27me3
,,MM468_Ramp_GSKJ4_3_K27me3,hg38,h3k27me3
,,MM468_Ramp_GSKJ4_5FUR3_K27me3,hg38,h3k27me3
,,MM468_Rcells_5FUR3_K27me3,hg38,h3k27me3
,,MM468_Rcells_5FUR5_K27me3,hg38,h3k27me3
,,MM468_Rcells_DMSO3_K27me3,hg38,h3k27me3
,,MM468_Rpop_5FUR1_K27me3,hg38,h3k27me3
,,MM468_Rpop_5FUR1_K4me3,hg38,h3k27me3
,,MM468_Rpop_5FUR3_K27me3,hg38,h3k27me3
,,MM468_Rpop_5FUR4_K27me3,hg38,h3k27me3
,,MM468_Rpop_5FUR5_K27me3,hg38,h3k27me3
,,MM468_Rpop_DMSO1_K27me3,hg38,h3k27me3
,,MM468_Rpop_DMSO1_K4me3,hg38,h3k27me3
